Unique_ID,State,District,Disease,Cases,Deaths,Start_Date,Report_Date,Status,Comments
OR/NAB/2019/03/0076,Odisha,Nawarangpur,Chickenpox,10,00,12-01-19,16-01-19,RRT investigated,the outbreak. House to house
TN/KRR/2019/03/0078,Tamil,Nadu,Karur Leptospirosis,24,00,18-01-19,19-01-19,done. Out,of 10 serum samples sent to DPHL
BH/NAW/2019/03/0080,Bihar,Nawada,Measles?,06,00,28-12-18,group,6 months-,7yrs. 2 children had history of prior measles
CT/RGR/2019/03/0082,Chhattisgarh,Raigarh,Diarrheal,25,00,26-12-18,house,survey done.,Temporary health camp organized by
MZ/AIE/2019/03/0086,Mizoram,Aizwal,East Scrub Typhus,25,00,05-11-18,32,samples collected,and tested at DPHL Aizwal and 25
GJ/SBK/2019/04/0093,Gujarat,Sabarkantha,Jaundice,08,00,05-01-19,and,sent to,GMERS Medical College Himmatnagar; result
GJ/SBK/2019/04/0094,Gujarat,Sabarkantha,Food Poisoning,39,00,07-01-19,roti),before going,school and presented symptoms with
HR/YNN/2019/04/0095,Haryana,Yamuna,Nagar Diarrheal,45,00,23-01-19,samples,collected and,sent to DPHL Karnal were not potable
KN/HAS/2019/04/0096,Karnataka,Hassan,Diarrheal,28,00,22-01-19,House,to house,survey done. 28 blood samples and 2 stool
KN/HAS/2019/04/0097,Karnataka,Hassan,Chickenpox,89,00,23-01-19,house,survey done.,3 blood samples and 2 vesicular swab
MH/THN/2019/04/0102,Maharashtra,Thane,Dengue?,09,01,15-01-19,NIV,Pune; result,awaited. Water storage practices were
Surveillance,loose,motion,and vomiting.,04,03,water,samples,,
TN/TVM/2019/04/0108,Tamil,Nadu,Tiruvannamalai Food Poisoning,44,00,21-01-19,food,in lunch,and presented symptoms with loose motion and
TN/NGP/2019/04/0109,Tamil,Nadu,Nagapattinam Food Poisoning,33,00,21-01-19,vomiting.,5 water,samples sent to DPHL Cheyyar; result
AS/NGO/2019/05/0111,Assam,Nagaon,Chickenpox,14,00,02-02-19,02-02-19,and 8,"are female. Out of the cases, 10 are children"
BH/MZP/2019/05/0112,Bihar,Muzaffarpur,Chickenpox,08,01,31-01-19,01-02-19,popular eruption,on body reported by cases.
affected,age,group,is,0,05,Yrs,old.,Health,
KN/BGK/2019/05/0117,Karnataka,Bagalkot,Chickenpox,29,00,03-02-19,04-02-19,collected and,sent to Mysore and 04 found
KN/BGR/2019/05/0119,Karnataka,Bangalore,Rural Chickenpox,10,00,28-01-19,01-02-19,survey done.,2 Blood Serum Samples sent to
PN/PON/2019/05/0122,Puducherry,Puducherry,Chickenpox,10,00,30-01-19,30-01-19,outbreak. House,to house survey done. All cases
TN/DMP/2019/05/0124,Tamil,Nadu,Dharmapuri Typhoid,42,00,01-02-19,03-02-19,Dharmapuri Result,"3 Typhoid Positive, 2"
BH/KTH/2019/05/0126,Bihar,Katihar,Chickenpox,04,00,05-01-19,House,to house,survey done. Health camp organized in the
BH/MBN/2019/05/0127,Bihar,Madhubani,Chickenpox,31,00,05-01-19,survey,done. Cases,presented with fever and vesiculopapular
BH/MZP/2019/05/0128,Bihar,Muzaffarpur,Chickenpox,20,00,16-01-19,"eyes,",Maculo papular,eruption on body reported by cases.
GJ/RJK/2019/05/0132,Gujarat,Rajkot,Measles,08,00,16-01-19,given.,5 Samples,are collected and sent to B.J.M.C
KN/DVA/2019/05/0134,Karnataka,Davangere,Chickenpox,64,00,24-01-19,MCVR,Manipal Lab,3 found Positive for chicken pox by IgM
KN/TUM/2019/05/0135,Karnataka,Tumkur,Chikungunya,137,00,24-01-19,sample-3,"found potable,",Throat swab-2 and 01 found positive
BH/MZP/2019/06/0141,Bihar,Muzaffarpur,Chickenpox,23,00,05-02-19,08-02-19,investigated the,outbreak. House to house survey
KN/CHI/2019/06/0143,Karnataka,Chitradurga,Mumps,14,00,02-02-19,06-02-19,sent to,KMC Manipal were positive for Mumps
KN/GDG/2019/06/0147,Karnataka,Gadag,Chickenpox,58,00,05-02-19,05-02-19,done. All,the 2 serum samples sent to Manipal
KN/MYS/2019/06/0148,Karnataka,Mysuru,Chickenpox,13,00,04-02-19,04-02-19,house survey,done. All 3 blood samples sent to
KN/TUM/2019/06/0149,Karnataka,Tumkur,Chickenpox,12,00,01-02-19,04-02-19,done. All,the cases treated at PHC
OR/AGL/2019/06/0153,Odisha,Angul,Diarrheal,14,00,06-02-19,09-02-19,done. 5,water samples and 1 rectal swab were
PB/FTH/2019/06/0155,Punjab,Fatehgarh,Sahib Mumps,30,00,31-01-19,04-02-19,DPHL Fatehgarh,Sahib were positive for Mumps
TN/MDR/2019/06/0156,Tamil,Nadu,Madurai,19,00,05-02-19,07-02-19,1food sample,collected and sent to Food Safety
TN/MDR/2019/06/0157,Tamil,Nadu,Madurai Chickenpox,51,00,08-02-19,09-02-19,outbreak. Active,search of cases done. All cases
TN/VEL/2019/06/0159,Tamil,Nadu,Vellore Chickenpox,20,00,01-02-19,06-02-19,outbreak. House,to house survey done. All cases
JH/ESI/2019/07/0168,Jharkhand,East,Singhbhum Chickenpox,46,00,13-02-19,16-02-19,the outbreak,and visited the affected area. Proper
KN/GDG/2019/07/0171,Karnataka,Gadag,Chickenpox,19,00,11-02-19,12-02-19,serum sample,"sent to MMCRI Mysore, result"
KN/GDG/2019/07/0173,Karnataka,Gadag,Chickenpox,49,00,11-02-19,12-02-19,serum samples,"sent to MMCRI Mysore, result"
KN/UDU/2019/07/0175,Karnataka,Udupi,Dengue,08,00,11-02-19,16-02-19,and Typhoid,out of these samples 5 tested
PB/SAS/2019/07/0178,Punjab,SAS,Nagar Diarrheal,08,00,12-02-19,12-02-19,the affected,area. All patients are residing in same
TN/SLM/2019/07/0179,Tamil,Nadu,Salem Mumps,08,00,16-02-19,18-02-19,outbreak. House,to house survey done. All the
TN/MDR/2019/07/0180,Tamil,Nadu,Madurai Diarrheal,41,00,14-02-9,16-02-19,samples sent,to DPHL Madurai Result awaited.
TN/VIR/2019/07/0181,Tamil,Nadu,Chickenpox,21,00,14-02-19,16-02-19,outbreak. House,to house survey done. All the
TN/TNJ/2019/07/0182,Tamil,Nadu,Thanjavur,15,00,15-02-19,18-02-19,samples sent,to DPHL Thanjavur Result awaited.
GJ/NAR/2019/07/0183,Gujarat,Narmada,Measles,05,00,29-01-19,taken,& Sent,"to BJMC Ahmedabad, result awaited. RRT"
KL/KTM/2019/07/0186,Kerala,Kottayam,Hepatitis A,43,00,16-12-18,Water,Purifier and,sent to Lab Chanaganseri for
MG/EKH/2019/07/0188,Meghalaya,East,Khasi Hills,54,00,04-02-19,children,were below,5 years of age. Stool samples were
Suspected,viral,Under,house survey done.,19,16,no.s,of,,
BH/ARN/2023/34/1021,Bihar,Aurangabad,Diarrheal,19,0,21-08-23,23-08-23,District RRT,investigated the outbreak. Cases
BH/JAH/2023/34/1022,Bihar,Jehanabad,Diarrheal,15,0,22-08-23,24-08-23,investigated the,outbreak. Cases were treated
BH/MBN/2023/34/1023,Bihar,Madhubani,Diarrheal,11,1,26-08-23,27-08-23,outbreak. Cases,were treated symptomatically.
CH/RGR/2023/34/1025,Chhattisgarh,Raigarh,Dengue,14,0,18-08-23,22-08-23,investigated the,outbreak. Cases were treated
KL/ERN/2023/34/1032,Kerala,Ernakulam,Diarrheal,42,00,25-08-23,26-08-23,All the,cases developed the symptoms after
MH/BNR/2023/34/1040,Maharashtra,Bhandara,Malaria,4,2,21-08-23,22-08-23,outbreak. 2,samples were found positive for
OR/BAG/2023/34/1043,Odisha,Balangir,Diarrheal,13,0,24-08-23,25-08-23,RRT investigated,the outbreak. Cases were
OR/DGH/2023/34/1045,Odisha,Deogarh,Unknown,113,0,25-08-23,25-08-23,investigated the,outbreak. Cases were treated
OR/NPD/2023/34/1046,Odisha,Nuapada,Diarrheal,23,0,22-08-23,22-08-23,DPHL Nuapada.,District RRT investigated the
OR/SBP/2023/34/1047,Odisha,Sambalpur,Diarrheal,32,0,22-08-23,23-08-23,sent to,DPHL Sambalpur. District RRT
RJ/GGN/2023/34/1049,Rajasthan,Ganganagar,Dengue,219,0,19-08-23,21-08-23,hospital Sri,Ganganagar. District RRT
TN/AIR/2023/34/1050,Tamil,Nadu,Ariyalur Diarrheal,52,0,24-08-23,24-08-23,outbreak. Cases,were of the age group 1-14
TN/TNJ/2023/34/1051,Tamil,Nadu,Thanjavur Hepatitis A,12,0,24-08-23,25-08-23,District RRT,investigated the outbreak. Cases
TN/TPL/2023/34/1052,Tamil,Nadu,Tiruchirappalli Hepatitis A,128,0,23-08-23,24-08-23,,
DN/DNH/2023/34/1053,D&N,Haveli,unknown,101,0,23-08-23,25-08-23,PHC Dapada.,District RRT investigated the
UP/FAT/2023/34/1055,Uttar,Pradesh,Fatehpur Dengue,10,0,21-08-23,21-08-23,outbreak. Cases,were treated symptomatically.
UP/JNP/2023/34/1056,Uttar,Pradesh,Jaunpur Measles,12,0,20-08-23,23-08-23,years. One,case came positive for Measles IgM
UK/NAI/2023/34/1059,Uttarakhand,Nainital,Hepatitis A,12,0,20-08-23,24-08-23,RRT investigated,the outbreak. 5 samples
AS/DAR/2023/34/1061,Assam,Darrang,Diarrheal,41,0,12-08-23,outbreak.,Cases were,treated symptomatically by iv fluids and
Kashmir,Surveillance,treated,symptomatically. Out of,80,17,samples,came,,
JH/DEO/2023/34/1065,Jharkhand,Deoghar,Dengue,15,0,16-08-23,Community,awareness and,health education given by peripheral
JH/LOH/2023/34/1066,Jharkhand,Lohardaga,Diarrheal,11,0,16-08-23,District,RRT investigated,the outbreak. Cases were treated
Cases,reported,from,ward,15,16,under,Pullisseri,Sub,
MH/MMS/2023/34/1070,Maharashtra,Zika,Virus,1,0,10-08-23,Zika,Virus by,RT-PCR testing at NIV Pune. Case was treated
DN/DNH/2023/34/1072,D&N,Haveli,Diarrheal,13,0,14-08-23,District,RRT investigated,the outbreak. Cases were treated
Pradesh,Control,symptomatically.,Out of,15,1,sample,tested,positive for,
CT/WAS/2022/25/468,Chhattisgarh,Balod,Food Poisoning,15,00,25-06-22,25-06-22,Under Control,the outbreak. District RRT investigated the
KN/WAS/2022/25/472,Karnataka,Human,Rabies,01,01,03-03-22,22-06-22,Under Control,
KN/WAS/2022/25/474,Karnataka,Mandya,Diarrheal,21,00,20-06-22,24-06-22,samples were,found suitable for potable purpose.
KL/WAS/2022/25/475,Kerala,Ernakulam,Dengue,47,01,10-05-22,27-06-22,39 years,female. District RRT investigated the
MH/WAS/2022/25/478,Maharashtra,Pune,Dengue,7,0,17-05-22,22-06-22,Under Control,
MH/WAS/2022/25/479,Maharashtra,Sangli,Diarrheal,83,0,23-06-22,24-06-22,Under Control,
PB/WAS/2022/25/481,Punjab,Patiala,Diarrheal,140,00,22-06-22,22-06-22,samples were,found not suitable for potable
RJ/WAS/2022/25/482,Rajasthan,Jalore,Diarrheal,115,0,22-06-2022,23-06-2022,Under Control,Result awaited. District RRT investigated the
TN/WAS/2022/25/483,Tamil,Nadu,Thiruvarur Food Poisoning,12,00,24-06-22,27-06-22,sent to,DPHL Thiruvarur and was found fit for
TN/WAS/2022/25/484,Tamil,Nadu,Tiruvannamalai Food Poisoning,47,00,23-06-22,27-06-22,,
AS/WAS/2022/25/487,Assam,Nagaon,Leptospirosis,04,00,14-06-22,positive,for Leptospirosis,by IgM ELISA. District RRT
GJ/SBK/2021/22/0204,Gujarat,Sabarkantha,Jaundice,11,00,29-05-21,31-05-21,sent to,"GMERS Lab., Himmatnagar, the result is"
GJ/SRT/2021/22/0205,Gujarat,Surat,Diarrheal,108,06,30-05-21,31-05-21,Lab/Smimer. Out,"of 57 water samples, 07 water"
MH/PNE/2021/22/0207,Maharashtra,Pune,Chikungunya,06,00,01-06-21,06-06-21,samples were,"sent to NIV, Pune and all were found"
WB/BRB/2021/22/0209,West,Bengal,Birbhum Diarrheal,51,00,01-06-21,02-06-21,rectal swab,was sent to BMCH for further lab.
KL/ERN/2021/22/0210,Kerala,Ernakulam,Dengue,24,01,05-05-21,test.,Other cases,"presented with fever, myalgia, nausea and"
KL/MLP/2021/22/0211,Kerala,Malappuram,Dengue,20,00,17-05-21,Lab.,"Malapuram, the","result is awaited. NS1 Ag, IgM card"
MG/WKH/2021/22/0212,Meghalaya,West,Khasi Hills,08,05,25-05-21,outbreak.,Health Education,was given.
AS/NGO/2021/41/0545,Assam,Nagaon,Leptospirosis,02,01,07-10-21,11-10-21,Nagaon. Of,"these, one sample was found positive"
KN/BEL/2021/41/0546,Karnataka,Ballari,Diarrheal,11,00,16-10-21,16-10-21,Under Control,outbreak was due to pipeline damage and
KN/GUL/2021/41/0547,Karnataka,Kalaburagi,Diarrheal,15,00,11-10-21,11-10-21,Under Control,
KN/GUL/2021/41/0548,Karnataka,Kalaburagi,Cholera,05,00,11-10-21,11-10-21,Under Control,
MH/BED/2021/41/0549,Maharashtra,Beed,Dengue,06,00,13-10-21,14-10-21,samples were,found positive for dengue by IgM
PB/SAS/2021/41/0550,Punjab,SAS,Nagar Diarrheal,26,00,17-10-21,18-10-21,outbreak. It,was found that outbreak was due to
UP/LKW/2021/41/0551,Uttar,Pradesh,Lucknow Diarrheal,12,00,11-10-21,12-10-21,investigated the,outbreak. It was found that
UK/HDW/2021/41/0552,Uttarakhand,Haridwar,Dengue,172,00,16-10-21,18-10-21,Under Control,
WB/PRL/2021/41/0553,West,Bengal,Purulia Cholera,22,00,13-10-21,14-10-21,Under Control,Vibrio cholerae. District RRT investigated the
deceased,cases,were,a,55,24,years,old,male,
UP/GHP/2021/41/0557,Uttar,Pradesh,Ghazipur Dengue,12,00,20-09-21,Varanasi.,"Of these,",three samples were found positive for
UP/JHN/2021/41/0559,Uttar,Pradesh,Jhansi Leptospirosis,08,00,15-09-21,bodyache.,18 blood,samples were collected and sent to
WB/NCP/2021/41/0561,West,Bengal,Cholera,1027,01,07-09-21,positive,for Shigella,flexneri. Three water samples were
AS/DHU/2019/12/0294,Assam,Dhubri,AES/JE,05,00,20-03-19,22-03-19,stagnation. Pigs,were present in the vicinity of
PN/YAN/2019/12/0301,Puducherry,Yanam,Chickenpox,14,00,18-03-19,18-03-19,affected children,"were students of class 4 & 5,"
TN/RMN/2019/12/0302,Tamil,Nadu,Chikungunya,25,00,18-03-19,22-03-19,DPHL Ramanathapuram,and all found positive
GJ/BVN/2019/12/0304,Gujarat,Bhavnagar,CCHF,01,01,11-03-19,sent,NIV Pune.,MC RRT & DRRT visited affected area. All
TN/TPL/2019/12/0309,Tamil,Nadu,Trichy Chikungunya,23,00,12-03-19,serum,samples sent,to DPHL Trichy and 7 found
JH/JAT/2023/44/1555,Jharkhand,Jamtara,Diarrheal,67,0,03-11-23,03-11-23,District RRT,investigated the outbreak. Cases
KN/RCR/2023/44/1560,Karnataka,Raichur,Dengue,20,0,30-10-23,31-10-23,were treated,symptomatically. 14 samples came
KL/KYM/2023/44/1565,Kerala,Kottayam,Diarrheal,18,0,31-10-23,01-11-23,investigated the,outbreak. All the cases
KL/MLP/2023/44/1566,Kerala,Malappuram,Hepatitis A,4,0,01-11-23,01-11-23,DPHL Malappuram.,District RRT investigated
KL/PLK/2023/44/1567,Kerala,Palakkad,Mumps,11,0,04-10-23,04-11-23,investigated the,outbreak. Age group of the
KL/PLK/2023/44/1568,Kerala,Palakkad,Mumps,74,0,27-10-23,02-11-23,the outbreak.,Age group of the affected cases
MH/NDB/2023/44/1575,Maharashtra,Nandurbar,Dengue,11,0,01-11-23,05-11-23,RRT investigated,the outbreak. Cases were
MN/BSN/2023/44/1577,Manipur,Bishnupur,Diarrheal,23,0,02-11-23,02-11-23,RRT investigated,the outbreak. Cases were
OR/CUT/2023/44/1580,Odisha,Cuttack,Diarrheal,14,0,05-11-23,05-11-23,sent to,"DPHL, Cuttack. District RRT"
UP/JHN/2023/44/1582,Uttar,Pradesh,Jhansi,649,0,29-10-23,30-10-23,ritual function.,Cases were treated
MH/NDB/2023/44/1586,Maharashtra,Nandurbar,Dengue,16,0,23-10-23,investigated,the outbreak.,Cases were treated symptomatically. 5
RJ/UDR/2023/44/1588,Rajasthan,Udaipur,Diarrheal,20,0,20-08-23,outbreak.,All the,cases developed the symptoms after
BH/NLD/2022/39/782,Bihar,Nalanda,Dengue,31,0,26-09-22,27-09-22,Under Control,
CT/BBR/2022/39/783,Chhattisgarh,Balodabazar,Diarrheal,43,0,29-09-22,30-09-22,Under Control,
JH/ESI/2022/39/784,Jharkhand,East,Singhbum Diarrheal,15,0,30-09-22,30-09-22,Under Control,
KL/KAS/2022/39/788,Kerala,Kasaragod,Monkey Pox,01,00,28-09-22,03-10-22,Under Control,
Dengue,Surveillance,cases,were,18,25,years,old,"females, 14",and
TN/SLM/2022/39/799,Tamil,Nadu,Salem Food Poisoning,13,0,19-09-22,water,samples were,found fit for drinking purpose.
KL/KOZ/2021/43/0592,Kerala,Kozhikode,Food Poisoning,21,00,21-10-21,26-10-21,Water samples,"were sent for further lab analysis,"
MH/BED/2021/43/0593,Maharashtra,Beed,Fever,06,01,27-10-21,30-10-21,samples were,"sent for further lab analysis, the"
MH/GAD/2021/43/0594,Maharashtra,Gadchiroli,Malaria,10,01,25-10-21,27-10-21,which one,"tested positive for plasmodium vivax,"
OR/SUN/2021/43/0596,Odisha,Sundargarh,Diarrheal,16,00,22-10-21,28-10-21,Under Control,"investigation, out of which all were found to be"
TL/KRY/2021/43/0598,Telangana,Kamareddy,Food Poisoning,136,00,27-10-21,29-10-21,Under Control,
UP/MHJ/2021/43/0601,Uttar,Pradesh,Maharajganj Food Poisoning,24,00,25-10-21,29-10-21,"Nautanwa, District",Maharajganj. District RRT
UP/SID/2021/43/0602,Uttar,Pradesh,Diarrheal,24,00,26-10-21,27-10-21,Under Control,"Lab for further lab analysis, the result is awaited."
AS/DAR/2021/43/0603,Assam,Scrub,Typhus,02,00,11-10-21,"GMCH,",Guwahati for,further lab investigation and they
MH/THN/2021/43/0604,Maharashtra,Thane,Dengue,05,01,01-10-21,for,"further investigation,",out of which four samples were
UP/AUR/2021/43/0605,Uttar,Pradesh,Auraiya Fever,150,00,05-10-21,Serum,samples were,"sent for further lab investigation, out"
UP/GHP/2021/43/0606,Uttar,Pradesh,Ghazipur Dengue,12,00,05-10-21,sent,to BHU,"Varanasi for further lab analysis, out of which"
UP/MUZ/2021/43/0607,Uttar,Pradesh,Muzaffarnagar Measles,04,00,12-07-21,samples,were sent,"for further lab analysis to NCDC, Delhi"
MH/BNR/2020/22/334,Maharashtra,Bhandara,Viral Fever,24,00,18-05-20,house,survey done.,6 blood sample collected and sent to
GJ/SRT/2021/38/0470,Gujarat,Surat,Cholera,28,00,24-09-21,27-09-21,Under Control,"analysis. Of these, one water sample was found"
KN/MYS/2021/38/0472,Karnataka,Mysuru,Dengue,13,00,20-09-21,21-09-21,Under Control,
PB/SAS/2021/38/0476,Punjab,Sangrur,Diarrheal,14,00,24-09-21,24-09-21,Under Control,collected and tested at DPHL Sangrur.09 water
TN/CUD/2021/38/0477,Tamil,Nadu,Cuddalore,17,00,20-09-21,22-09-21,Under Control,"sent to Villupuram Lab for further lab analysis,"
TN/VIR/2021/38/0478,Tamil,Nadu,Virudhunagar Leptospirosis,13,00,25-09-21,29-09-21,Under Control,which one sample tested positive for Dengue by
UP/BRL/2021/38/0479,Uttar,Pradesh,Bareilly Dengue,158,05,23-09-21,23-09-21,Under Control,"samples, 158 samples were found to be positive"
AS/LKM/2021/38/0480,Assam,Lakhimpur,Leptospirosis,02,00,02-09-21,tested,positive for,Leptospira by IgM ELISA. Three blood
MH/GAD/2021/38/0481,Maharashtra,Gadchiroli,Scrub Typhus,18,01,06-09-21,samples,were found,to be positive for Scrub Typhus by
UP/HRD/2021/38/0483,Uttar,Pradesh,Hardoi,11,00,12-09-21,negative,for Dengue,by NS1. 11 samples were sent for
UP/HRD/2021/38/0484,Uttar,Pradesh,Hardoi,23,00,12-09-21,dengue,by NS1.,23 blood slides were sent for further lab
UP/KAJ/2021/38/0486,Uttar,Pradesh,Kannauj Dengue,22,00,07-09-21,further,"lab analysis,",out of which 20 samples tested
GJ/GAN/2021/26/0249,Gujarat,Gandhi,Nagar Diarrheal,12,00,30-06-21,30-06-21,investigated the,outbreak. Health education was
GJ/KHD/2021/26/0250,Gujarat,Kheda,Cholera,10,00,29-06-21,29-06-21,which 01,sample was positive for Vibrio cholera.
KN/DVA/2021/26/0256,Karnataka,Davanagere,Diarrheal,31,00,29-06-21,29-06-21,Lab DVG.,Results awaited. District RRT
PB/PTL/2021/26/0257,Punjab,Patiala,Diarrheal,20,01,29-06-21,04-7-21,District RRT,investigated the outbreak. Health
WB/MDW/2021/26/0259,West,Bengal,Jhargram,34,00,01-07-21,01-07-21,sent to,MMCH lab. Result showed no pathogenic
MH/PNE/2021/26/0266,Maharashtra,Pune,Dengue,06,00,24-06-21,District,RRT investigated,the outbreak. Health education
AS/DHE/2023/36/1154,Assam,Dhemaji,Diarrheal,60,0,07-09-23,08-09-23,the outbreak.,All the cases developed
BH/JAM/2023/36/1156,Bihar,Jamui,Dengue,58,0,05-09-23,09-09-23,Jamui. District,RRT investigated the outbreak.
BH/MNG/2023/36/1157,Bihar,Munger,Dengue,107,0,09-09-23,09-09-23,"Hospital, Munger",and 80 found positive for
BH/RTH/2023/36/1158,Bihar,Rohtas,Diarrheal,12,0,09-09-23,09-09-23,District RRT,investigated the outbreak. Cases
GJ/JGH/2023/36/1160,Gujarat,Junagadh,Diarrheal,39,0,10-09-23,10-09-23,the consumption,of dinner at an engagement
JH/CHA/2023/36/1163,Jharkhand,Chatra,Diarrheal,9,0,08-09-23,09-09-23,The affected,age group were 10-50 years.
JH/CHA/2023/36/1164,Jharkhand,Chatra,Measles,12,0,01-09-23,04-09-23,solution were,given to the cases. Cases were of
KN/DVA/2023/36/1169,Karnataka,Davangere,Diarrheal,42,0,06-09-23,06-09-23,investigated the,outbreak. Cases were treated
MH/KOP/2023/36/1179,Maharashtra,Kolhapur,Zika Virus,3,0,04-09-23,06-09-23,samples came,positive for Zika IgM by
MH/YVT/2023/36/1183,Maharashtra,Yavatmal,Dengue,7,0,09-09-23,09-09-23,seven samples,came positive for Dengue IgM
MN/IMP/2023/36/1184,Manipur,Imphal,West Diarrheal,35,0,04-09-23,04-09-23,District RRT,investigated the outbreak. Cases
PB/GPR/2023/36/1187,Punjab,Gurdaspur,Diarrheal,161,6,04-09-23,05-09-23,Stool sample,found sterile on culture and
TN/TPL/2023/36/1188,Tamil,Nadu,Tiruchirappalli Diarrheal,22,0,06-09-23,09-09-23,District RRT,investigated the outbreak. Stool
TN/VIL/2023/36/1189,Tamil,Nadu,Villupuram Cholera,43,1,06-09-23,07-09-23,outbreak. All,3 stool samples found positive
GJ/NAV/2022/10/058,Gujarat,Navsari,Diarrheal,57,00,08-03-22,08-03-22,found to,be safe for drinking and no organism
TL/ADL/2022/10/062,Telangana,Adilabad,Food Poisoning,47,00,10-03-22,Under,Control Food,samples were sent for lab analysis and
TL/ADL/2022/10/063,Telangana,Adilabad,Food Poisoning,70,00,12-03-22,13-03-22,Under Control,"to RIMS, Adilabad. Result awaited. District RRT"
TL/NLN/2022/10/064,Telangana,Nalgonda,Dengue,06,00,11-03-22,12-03-22,Under Control,"analysis. Of these, two samples showed positive"
TL/PAY/2022/10/065,Telangana,Peddapalli,Food Poisoning,12,00,11-03-22,12-03-22,Under Control,
TL/PAY/2022/10/066,Telangana,Peddapalli,Food Poisoning,20,00,09-03-22,10-03-22,Under Control,Water Supply and Sanitation Department and no
TN/MDR/2022/10/068,Tamil,Nadu,Madurai Chickenpox,25,00,05-03-22,07-03-22,Under Control,
KL/THI/2022/10/070,Kerala,Trivandrum,Dengue,09,00,22-02-22,positive,for Dengue,by IgM ELISA. District RRT
TN/AIR/2022/10/072,Tamil,Nadu,Ariyalur Unknown,15,00,31-01-22,blood,sample was,"negative for Dengue, Typhoid,"
AS/DBG/2022/23/397,Assam,Dibrugarh,Diarrheal,18,00,10-06-2022,11-06-2022,Under Control,coliform count- 2 bacilli/100 ml of water and
AS/KAD/2022/23/398,Assam,Karbi,Anglong Diarrheal,54,00,09-06-2022,10-06-2022,Under Control,Enteropathogenic organism. Water samples
